,collection_date,country,db_xref,genotype,host,isolate,mol_type,note,organism,subtype,chromosome,clone,culture_collection,isolation_source,map,serotype,strain,PCR_primers,collected_by,lab_host,identified_by,lat_lon,pop_variant,cell_type,clone_lib,dev_stage,sex,tissue_type
0,02-Aug-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1352_02/08/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
1,31-Jul-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1351_31/07/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
2,08-Jul-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1350_08/07/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
3,05-Jul-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1349_05/07/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
4,20-Jun-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1348_20/06/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
5,20-Jun-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1347_20/06/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
6,19-Jun-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1346_19/06/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
7,19-Jun-2015,Kenya,taxon:208893,GA2,Homo sapiens,KEN/Kilifi/1345_19/06/2015,viral cRNA,genotype: GA2,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
8,18-Jun-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1344_18/06/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
9,17-Jun-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1343_17/06/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
